,Name,player_id,position
15,A.J. Feeley,FeelA.00,"['', 'qb', 'QB', '', '', '', '']"
16,Jay Fiedler,FiedJa00,"['', '', 'qb', 'QB', 'QB', 'QB', 'QB', 'qb', '', '']"
49,Sage Rosenfels,RoseSa00,"['', '', 'qb', 'qb', '', 'qb', 'qb', '', '']"
13,David Garrard,GarrDa00,"['qb', '', 'qb', 'qb', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
24,Byron Leftwich,LeftBy00,"['QB', 'QB', 'QB', 'qb', 'qb', '', 'qb', '', 'qb', '']"
15,Ken Dorsey,DorsKe00,"['qb', 'qb', '', '', 'qb', '']"
42,Cody Pickett,PickCo00,"['', 'qb', '']"
45,Tim Rattay,RattTi00,"['', '', '', '', 'QB', '', '', '', '']"
10,Mark Brunell,BrunMa00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', '', 'qb', '', '', '']"
46,Patrick Ramsey,RamsPa00,"['qb', 'QB', 'qb', '', '', '', '', '']"
60,Tom Tupa,TupaTo20,"['p', 'p', 'QB', 'p', 'P', 'P', 'P/QB', '', 'P', '', 'p', 'P', 'P/QB', 'P', 'P', 'P', 'P']"
19,Rex Grossman,GrosRe00,"['qb', 'qb', 'qb', 'QB', 'qb', 'qb', '', 'qb', 'QB', '', '']"
23,Chad Hutchinson,HutcCh00,"['QB', '', 'qb', '']"
33,Craig Krenzel,KrenCr00,"['qb', '']"
